order_id,customer_id,product_id,order_date,quantity,discount_pct,sales_amount,channel,source_system
O-000001,C-0146,P-150,2025-03-29,4,0.05,37240.0,Partner,shortcut
O-000002,C-0037,P-110,2025-01-31,5,0,24975,Web,shortcut
O-000003,C-0066,P-150,2025-02-23,4,0.1,35280.0,Partner,shortcut
O-000004,C-0052,P-130,2025-03-03,3,0.1,16740.0,Marketplace,copy_job
O-000005,C-0012,P-100,2025-04-15,1,0,8420,Web,copy_job
O-000006,C-0028,P-150,2026-05-09,1,0,9800,Marketplace,mirror
O-000007,C-0116,P-140,2025-10-22,7,0.15,46410.0,Direct,mirror
O-000008,C-0093,P-150,2025-07-20,7,0.05,65170.0,Direct,copy_job
O-000009,C-0070,P-150,2025-08-04,8,0.1,70560.0,Web,copy_job
O-000010,C-0139,P-150,2025-09-22,4,0.05,37240.0,Partner,shortcut
O-000011,C-0140,P-110,2026-02-10,6,0,29970,Partner,shortcut
O-000012,C-0137,P-110,2025-07-14,8,0,39960,Marketplace,copy_job
O-000013,C-0074,P-130,2026-03-10,2,0.1,11160.0,Web,mirror
O-000014,C-0008,P-140,2026-06-06,6,0,46800,Direct,mirror
O-000015,C-0079,P-120,2025-10-15,5,0.15,53125.0,Direct,copy_job
O-000016,C-0073,P-110,2026-04-27,6,0.15,25474.5,Web,shortcut
O-000017,C-0101,P-140,2025-08-20,3,0.05,22230.0,Direct,shortcut
O-000018,C-0113,P-110,2025-08-21,4,0.15,16983.0,Direct,copy_job
O-000019,C-0035,P-140,2026-03-02,8,0.05,59280.0,Partner,copy_job
O-000020,C-0016,P-120,2025-04-09,1,0.15,10625.0,Web,shortcut
O-000021,C-0106,P-130,2026-07-03,6,0.1,33480.0,Marketplace,copy_job
O-000022,C-0076,P-100,2026-01-15,8,0.05,63992.0,Web,copy_job
O-000023,C-0007,P-150,2026-01-14,1,0,9800,Direct,mirror
O-000024,C-0041,P-120,2025-09-20,5,0.05,59375.0,Partner,copy_job
O-000025,C-0013,P-110,2026-05-04,5,0.05,23726.25,Marketplace,mirror
O-000026,C-0094,P-150,2026-06-17,3,0.15,24990.0,Marketplace,copy_job
O-000027,C-0021,P-150,2025-07-31,8,0,78400,Marketplace,mirror
O-000028,C-0027,P-110,2026-03-14,5,0,24975,Partner,mirror
O-000029,C-0063,P-100,2025-10-23,5,0.15,35785.0,Partner,copy_job
O-000030,C-0030,P-140,2025-09-17,6,0.1,42120.0,Partner,mirror
O-000031,C-0102,P-140,2025-06-02,3,0.15,19890.0,Direct,shortcut
O-000032,C-0059,P-150,2026-01-06,1,0,9800,Partner,copy_job
O-000033,C-0016,P-110,2026-02-25,7,0.1,31468.5,Marketplace,shortcut
O-000034,C-0092,P-150,2025-02-11,6,0.05,55860.0,Web,copy_job
O-000035,C-0080,P-150,2025-09-19,3,0,29400,Direct,shortcut
O-000036,C-0048,P-140,2026-05-17,4,0.1,28080.0,Partner,mirror
O-000037,C-0081,P-110,2025-02-23,2,0.15,8491.5,Marketplace,copy_job
O-000038,C-0032,P-100,2026-04-14,1,0.1,7578.0,Web,mirror
O-000039,C-0140,P-100,2026-06-11,6,0.15,42942.0,Partner,shortcut
O-000040,C-0113,P-120,2025-12-29,1,0.15,10625.0,Direct,mirror
O-000041,C-0080,P-140,2026-01-29,8,0.05,59280.0,Direct,shortcut
O-000042,C-0097,P-110,2025-06-18,5,0.15,21228.75,Direct,copy_job
O-000043,C-0094,P-130,2025-09-06,6,0.15,31620.0,Web,mirror
O-000044,C-0022,P-110,2026-06-02,2,0.1,8991.0,Partner,copy_job
O-000045,C-0049,P-100,2025-02-13,7,0,58940,Web,copy_job
O-000046,C-0071,P-130,2025-04-14,3,0.15,15810.0,Web,copy_job
O-000047,C-0061,P-110,2025-11-21,1,0,4995,Partner,mirror
O-000048,C-0049,P-150,2026-03-16,3,0,29400,Web,shortcut
O-000049,C-0042,P-150,2026-01-31,3,0.1,26460.0,Partner,mirror
O-000050,C-0102,P-150,2025-02-22,8,0.05,74480.0,Marketplace,copy_job
O-000051,C-0144,P-150,2026-01-10,1,0,9800,Web,copy_job
O-000052,C-0052,P-130,2025-12-27,2,0,12400,Partner,copy_job
O-000053,C-0111,P-110,2025-12-02,7,0,34965,Direct,shortcut
O-000054,C-0096,P-150,2025-11-04,7,0.05,65170.0,Partner,copy_job
